predictor,lambda_non0_val_appears
BY_recon_200,23.4517531679589
RY_discon_200,16.0213558255203
RY_recon_8,14.5352763570326
BY_recon_100,11.5631174200572
RY_DS_Mag_90,10.0770379515695
RY_recon_70,8.21943861595981
SY_discon_70,7.84791874883788
RY_Wet_Tim,6.36183928035017
BY_recon_15,4.50423994474053
SY_discon_200,4.1327200776186
BY_recon_70,3.38968034337475
RY_discon_100,3.38968034337475
BY_recon_8,NA
BY_recon_10,NA
BY_recon_20,NA
BY_recon_40,NA
BY_recon_150,NA
BY_recon_300,NA
BY_recon_400,NA
BY_recon_500,NA
BY_recon_750,NA
RY_discon_8,NA
RY_discon_10,NA
RY_discon_15,NA
RY_discon_20,NA
RY_discon_40,NA
RY_discon_70,NA
RY_discon_150,NA
RY_discon_300,NA
RY_discon_400,NA
RY_discon_500,NA
RY_discon_750,NA
RY_discon_1000,NA
RY_recon_10,NA
RY_recon_15,NA
RY_recon_20,NA
RY_recon_40,NA
RY_recon_100,NA
RY_recon_150,NA
RY_recon_200,NA
RY_recon_300,NA
RY_recon_400,NA
RY_recon_500,NA
SY_discon_100,NA
SY_discon_150,NA
SY_discon_300,NA
SY_discon_400,NA
SY_discon_500,NA
SY_discon_750,NA
SY_discon_1000,NA
BY_min_flow_sepdec,NA
RY_min_flow,NA
SY_min_flow_janjul,NA
tot_flow_CFLP,NA
BY_tot_flow_sepdec,NA
RY_tot_flow,NA
SY_tot_flow_janjul,NA
log_tot_flow_CFLP,NA
log_BY_tot_flow_sepdec,NA
log_RY_tot_flow,NA
log_SY_tot_flow_janjul,NA
BY_num_days_gt_90_pctile,NA
RY_Wet_BFL_Dur,NA
RY_SP_ROC,NA
RY_DS_Mag_50,NA
RY_Wet_BFL_Mag_50,NA
RY_num_days_gt_90_pctile,NA
RY_DS_Tim,NA
RY_SP_Tim,NA
RY_DS_Dur_WS,NA
SY_Wet_Tim,NA
SY_Wet_BFL_Dur,NA
SY_SP_ROC,NA
