predictor,lambda_non0_val_appears
w2_Wet_BFL_Dur,68.1078448304664
w1_Wet_BFL_Mag_50,51.1468859986096
wy2_Mean_Ann_Flow,36.6089212855894
d1_DS_Mag_90,32.9744301073344
w1_Wet_BFL_Mag_10,30.5514359884977
s1_SP_Tim,29.3399389290793
w2_num_days_gt_90_pctile,26.9169448102426
f2_FA_Dif_num,25.7054477508243
d1_DS_Mag_50,20.8594595131509
w2_Wet_Tim,19.6479624537326
f1_FA_Dif_num,18.4364653943142
s1_SP_ROC_Max,18.4364653943142
w1_Wet_BFL_Dur,16.0134712754775
s1_discon_120,12.3789800972225
s1_SP_ROC,7.53299185954909
d2_DS_Mag_90,7.53299185954909
s1_SP_Dur,6.32149480013075
w2_Wet_BFL_Mag_10,6.32149480013075
f2_recon_20,5.1099977407124
d1_DS_Tim,2.68700362187571
s2_SP_Tim,2.68700362187571
wy2_WY_Cat,2.68700362187571
f1_recon_20,1.47550656245736
f1_recon_120,1.47550656245736
f2_recon_120,1.47550656245736
wy1_WY_Cat,1.47550656245736
s1_discon_20,0.264009503039014
s2_SP_ROC,0.264009503039014
w1_num_days_gt_90_pctile,0.264009503039014
s2_discon_120,NA
d1_DS_Dur_WS,NA
w1_Wet_Tim,NA
w1_Peak_10,NA
w1_Peak_2,NA
w1_Peak_5,NA
s1_SP_Mag,NA
wy1_Mean_Ann_Flow,NA
d2_DS_Dur_WS,NA
d2_DS_Tim,NA
d2_DS_Mag_50,NA
w2_Wet_BFL_Mag_50,NA
w2_Peak_10,NA
w2_Peak_2,NA
w2_Peak_5,NA
s2_SP_ROC_Max,NA
s2_SP_Dur,NA
s2_SP_Mag,NA
